Date,Close/Last,Volume,Open,High,Low
12/04/2024,$185.50,1783797,$186.75,$187.36,$185.00
12/03/2024,$187.06,2355137,$189.41,$189.47,$186.58
12/02/2024,$187.52,2504535,$192.67,$193.00,$187.32
11/29/2024,$192.01,1132310,$193.05,$194.30,$191.87
11/27/2024,$191.29,1561079,$192.30,$193.56,$190.23
11/26/2024,$191.45,2327471,$191.15,$192.215,$189.30
11/25/2024,$191.89,4899393,$188.59,$193.58,$188.03
11/22/2024,$187.06,2051578,$183.08,$187.57,$182.82
11/21/2024,$182.64,3628190,$181.72,$184.102,$180.76
11/20/2024,$180.69,2310456,$181.32,$181.80,$179.95
11/19/2024,$181.00,2204645,$179.67,$182.00,$179.08
11/18/2024,$182.86,2513996,$184.45,$186.10,$182.07
11/15/2024,$185.14,4122382,$183.34,$185.97,$183.08
11/14/2024,$183.00,3005953,$184.52,$185.58,$181.63
11/13/2024,$185.53,3347223,$187.18,$189.18,$184.91
11/12/2024,$186.79,3284777,$189.80,$191.2639,$186.47
11/11/2024,$190.21,5172179,$188.85,$191.99,$186.37
11/08/2024,$185.21,4247350,$184.80,$187.525,$183.25
11/07/2024,$184.82,4766615,$188.08,$189.249,$184.55
11/06/2024,$190.97,12157320,$190.29,$198.30,$185.97
11/05/2024,$166.05,2489647,$162.37,$166.44,$161.915
11/04/2024,$161.28,2234645,$163.65,$163.76,$160.32
11/01/2024,$163.90,3375221,$162.35,$165.18,$162.02
10/31/2024,$162.79,3426028,$167.00,$167.04,$162.77
10/30/2024,$166.77,2787802,$163.92,$167.885,$163.055
10/29/2024,$162.99,2596626,$164.67,$165.36,$162.48
10/28/2024,$165.37,4109049,$161.58,$165.91,$160.0901
10/25/2024,$161.27,6087492,$164.28,$167.9329,$161.11
10/24/2024,$153.26,3592613,$155.20,$155.42,$152.22
10/23/2024,$154.25,2742235,$155.86,$156.995,$152.98
10/22/2024,$156.02,2187055,$157.10,$157.38,$155.37
10/21/2024,$157.02,2265774,$158.58,$159.62,$156.02
10/18/2024,$159.03,2516982,$159.70,$159.76,$155.36
10/17/2024,$159.75,2771948,$158.60,$160.45,$158.07
10/16/2024,$158.07,1942312,$159.10,$159.29,$157.42
10/15/2024,$156.73,2164801,$157.70,$159.78,$155.83
10/14/2024,$156.61,2379698,$155.68,$157.355,$154.0392
10/11/2024,$155.68,2498943,$152.00,$156.34,$152.00
10/10/2024,$151.13,1440847,$151.07,$152.31,$150.12
10/09/2024,$151.80,2079432,$149.91,$151.88,$149.21
10/08/2024,$149.50,1904446,$152.27,$152.525,$149.46
10/07/2024,$152.00,2016675,$152.30,$153.44,$150.66
10/04/2024,$153.44,2550961,$148.78,$153.55,$148.77
10/03/2024,$145.20,1967224,$145.31,$145.74,$143.30
10/02/2024,$146.52,1881403,$146.85,$148.06,$145.18
10/01/2024,$146.80,1713835,$149.65,$149.745,$145.37
09/30/2024,$149.73,1262257,$148.09,$149.85,$147.50
09/27/2024,$149.09,1512463,$148.77,$150.27,$147.57
09/26/2024,$147.78,1492212,$146.51,$148.13,$145.30
09/25/2024,$146.33,1593046,$148.27,$148.27,$145.665
09/24/2024,$147.35,2389723,$151.49,$151.65,$144.36
09/23/2024,$151.25,1735089,$153.00,$154.18,$151.165
09/20/2024,$152.28,3417019,$153.36,$153.36,$150.71
09/19/2024,$153.05,3456657,$148.50,$153.07,$148.11
09/18/2024,$145.43,2165302,$145.41,$148.50,$143.855
09/17/2024,$145.08,2166068,$140.93,$146.60,$140.93
09/16/2024,$140.95,2612779,$138.90,$141.80,$138.90
09/13/2024,$138.97,1822889,$138.50,$140.65,$137.64
09/12/2024,$137.54,1945922,$136.74,$138.07,$134.73
09/11/2024,$136.46,2864181,$136.75,$136.80,$132.61
09/10/2024,$137.99,7077839,$140.26,$140.625,$131.55
09/09/2024,$142.60,1998573,$140.42,$143.53,$139.945
09/06/2024,$139.00,2381660,$142.10,$145.08,$138.14
09/05/2024,$142.09,2261433,$144.79,$145.3699,$140.915
09/04/2024,$143.77,1996419,$146.32,$147.17,$142.845
09/03/2024,$145.60,1530935,$145.47,$147.27,$144.925
08/30/2024,$146.93,1983621,$145.68,$147.22,$144.85
08/29/2024,$145.37,1230288,$145.32,$145.63,$142.765
08/28/2024,$144.15,1769667,$142.07,$144.53,$142.07
08/27/2024,$142.38,1055897,$142.71,$143.43,$141.86
08/26/2024,$142.52,1823844,$143.44,$144.005,$141.63
08/23/2024,$142.54,2885998,$140.46,$143.68,$139.52
08/22/2024,$139.48,2339331,$139.56,$140.63,$139.06
08/21/2024,$139.78,1386776,$141.80,$142.30,$139.19
08/20/2024,$141.51,1326179,$142.50,$142.62,$140.92
08/19/2024,$142.93,1339727,$139.74,$143.00,$139.74
08/16/2024,$139.56,1883617,$137.06,$139.81,$136.58
08/15/2024,$137.11,2374490,$138.34,$141.17,$136.07
08/14/2024,$135.95,1699454,$134.70,$136.40,$134.04
08/13/2024,$134.00,1673910,$133.00,$134.27,$131.78
08/12/2024,$132.12,1797091,$134.26,$135.165,$131.88
08/09/2024,$134.81,1325962,$134.60,$135.055,$133.28
08/08/2024,$134.37,1742423,$133.59,$135.19,$133.21
08/07/2024,$132.29,2101003,$135.70,$137.23,$132.10
08/06/2024,$133.69,3070144,$131.37,$134.815,$130.78
08/05/2024,$131.42,3561145,$131.94,$133.31,$128.225
08/02/2024,$136.12,3542499,$141.49,$141.49,$135.80
08/01/2024,$143.89,3245991,$151.73,$152.64,$142.34
07/31/2024,$151.40,2026828,$151.96,$152.87,$150.97
07/30/2024,$152.25,2387511,$150.74,$152.65,$149.32
07/29/2024,$149.06,1779258,$149.52,$149.86,$147.38
07/26/2024,$149.36,1795053,$149.28,$150.10,$148.41
07/25/2024,$148.09,2666048,$146.17,$150.05,$145.49
07/24/2024,$146.41,4567844,$143.67,$148.93,$140.50
07/23/2024,$145.50,3686332,$145.26,$147.46,$144.84
07/22/2024,$145.11,3257199,$146.21,$147.32,$144.50
07/19/2024,$147.27,2564721,$148.92,$149.12,$146.30
07/18/2024,$148.72,3936943,$151.77,$153.35,$147.69
07/17/2024,$149.47,2931451,$148.87,$151.34,$147.44
07/16/2024,$149.56,3796875,$144.64,$149.59,$144.19
07/15/2024,$144.61,3018249,$140.82,$144.64,$140.21
07/12/2024,$138.41,1680176,$139.12,$139.47,$137.498
07/11/2024,$138.99,1803761,$137.05,$139.07,$136.56
07/10/2024,$136.61,1665959,$136.19,$137.00,$135.41
07/09/2024,$136.99,2575901,$135.81,$138.93,$135.36
07/08/2024,$135.81,2298779,$137.22,$138.06,$135.50
07/05/2024,$136.00,2622569,$138.38,$138.735,$135.88
07/03/2024,$138.42,1805381,$140.27,$140.67,$138.00
07/02/2024,$140.48,2019978,$139.64,$140.52,$138.725
07/01/2024,$139.70,3081255,$138.80,$141.80,$138.45
06/28/2024,$138.45,4959929,$135.39,$138.79,$134.662
06/27/2024,$134.03,3535201,$136.03,$136.24,$132.9236
06/26/2024,$136.77,2834194,$133.71,$136.94,$133.08
06/25/2024,$134.86,1744110,$137.15,$137.65,$134.76
06/24/2024,$137.68,1749027,$137.04,$139.11,$135.63
06/21/2024,$136.77,3152706,$137.00,$137.77,$135.21
06/20/2024,$138.13,1811775,$137.82,$138.15,$135.84
06/18/2024,$137.34,1399643,$137.01,$138.21,$136.77
06/17/2024,$137.10,2054456,$133.79,$137.355,$133.50
06/14/2024,$133.70,2612963,$134.03,$135.25,$133.3006
06/13/2024,$135.09,1895977,$136.31,$136.68,$134.29
06/12/2024,$137.10,2240488,$137.28,$138.9927,$136.17
06/11/2024,$135.14,2436130,$140.16,$140.40,$134.55
06/10/2024,$140.90,2544384,$138.81,$141.18,$138.32
06/07/2024,$139.80,2835943,$135.69,$141.00,$135.29
06/06/2024,$136.37,2383919,$136.57,$138.62,$135.865
06/05/2024,$135.48,2226520,$134.82,$135.68,$133.54
06/04/2024,$134.48,1942771,$135.47,$136.55,$133.71
06/03/2024,$137.12,2002780,$137.43,$138.00,$134.89
05/31/2024,$137.63,4432570,$136.51,$137.76,$136.22
05/30/2024,$136.18,1707047,$136.24,$136.87,$135.12
05/29/2024,$135.65,1616188,$134.82,$136.19,$133.70
05/28/2024,$136.62,1659865,$137.74,$138.11,$136.23
05/24/2024,$137.62,1571698,$138.05,$139.24,$137.435
05/23/2024,$137.49,2788713,$139.64,$139.64,$136.21
05/22/2024,$139.43,1715520,$139.97,$141.59,$139.23
05/21/2024,$140.42,1948158,$140.27,$141.02,$139.95
05/20/2024,$140.62,1340760,$141.81,$142.025,$140.10
05/17/2024,$141.81,1380022,$142.15,$142.23,$140.85
05/16/2024,$141.05,3111300,$144.40,$144.97,$140.41
05/15/2024,$144.35,2064829,$144.04,$145.38,$143.5379
05/14/2024,$143.08,1680234,$143.04,$143.75,$142.14
05/13/2024,$142.20,1058405,$143.88,$144.24,$141.91
05/10/2024,$142.56,1322491,$142.25,$143.15,$142.02
05/09/2024,$142.49,1583136,$142.66,$143.46,$141.94
05/08/2024,$142.83,1269020,$142.09,$143.22,$141.52
05/07/2024,$142.56,1927112,$144.19,$144.62,$141.61
05/06/2024,$143.33,1493572,$143.43,$144.60,$142.83
05/03/2024,$142.41,1638256,$143.18,$143.43,$142.03
05/02/2024,$141.81,2105951,$143.19,$143.44,$141.46
05/01/2024,$141.64,1948347,$143.00,$143.82,$141.15
04/30/2024,$143.43,2038180,$144.37,$145.025,$143.34
04/29/2024,$145.50,2169353,$146.83,$147.27,$144.79
04/26/2024,$146.21,4328677,$145.16,$148.98,$144.70
04/25/2024,$145.97,3757765,$148.34,$149.00,$144.93
04/24/2024,$148.87,3961836,$147.14,$149.60,$146.76
04/23/2024,$147.90,2503162,$147.08,$149.9359,$146.88
04/22/2024,$147.25,2875531,$144.10,$147.28,$143.0901
04/19/2024,$142.91,2530894,$142.26,$145.19,$142.26
04/18/2024,$141.63,3001370,$137.99,$143.66,$137.99
04/17/2024,$136.77,1762320,$137.75,$138.57,$136.52
04/16/2024,$136.41,2206372,$138.30,$138.605,$136.25
04/15/2024,$139.18,2862696,$141.80,$142.425,$138.15
04/12/2024,$139.62,2530555,$138.18,$139.66,$137.86
04/11/2024,$140.34,2153334,$140.12,$141.37,$137.6035
04/10/2024,$139.94,3041265,$141.16,$141.57,$138.15
04/09/2024,$143.52,1354775,$144.12,$144.50,$142.495
04/08/2024,$143.92,1717325,$143.78,$145.24,$143.525
04/05/2024,$143.52,1567339,$142.11,$143.685,$141.675
04/04/2024,$142.13,2419106,$146.76,$147.21,$142.05
04/03/2024,$143.27,1949709,$144.10,$144.71,$142.42
04/02/2024,$144.41,1924683,$144.50,$144.92,$143.12
04/01/2024,$145.30,1638915,$148.85,$148.89,$144.99
03/28/2024,$148.89,4039497,$145.60,$149.275,$145.00
03/27/2024,$144.51,2593270,$141.82,$144.57,$141.465
03/26/2024,$140.83,1729923,$140.92,$141.9299,$140.66
03/25/2024,$140.55,2376265,$140.15,$141.955,$140.00
